post_id,user_id,place_id,name,latitude,longitude,level,NOM,geo
863,54,3228,"La Carioca, Plaça de Pau Vila, Barcelona, Spain",41.3808,2.18635,bar,la Barceloneta,"41.3808,2.18635"
864,54,3228,"La Carioca, Plaça de Pau Vila, Barcelona, Spain",41.3808,2.18635,bar,la Barceloneta,"41.3808,2.18635"
865,54,3228,"La Carioca, Plaça de Pau Vila, Barcelona, Spain",41.3808,2.18635,bar,la Barceloneta,"41.3808,2.18635"
866,54,3229,"La Carioca, Plaça de Pau Vila, Barcelona, Spain",41.3808,2.18635,bar,la Barceloneta,"41.3808,2.18635"
1055,54,3228,"La Carioca, Plaça de Pau Vila, Barcelona, Spain",41.3808,2.18635,bar,la Barceloneta,"41.3808,2.18635"
1057,54,3228,"La Carioca, Plaça de Pau Vila, Barcelona, Spain",41.3808,2.18635,bar,la Barceloneta,"41.3808,2.18635"
1058,54,3228,"La Carioca, Plaça de Pau Vila, Barcelona, Spain",41.3808,2.18635,bar,la Barceloneta,"41.3808,2.18635"
1059,54,3228,"La Carioca, Plaça de Pau Vila, Barcelona, Spain",41.3808,2.18635,bar,la Barceloneta,"41.3808,2.18635"
1060,54,3228,"La Carioca, Plaça de Pau Vila, Barcelona, Spain",41.3808,2.18635,bar,la Barceloneta,"41.3808,2.18635"
3619,81,12421,Bodega del Born,41.3839,2.18163,bar,"Sant Pere, Santa Caterina i la Ribera
","41.3839,2.18163"
2859,33,9705,El Drapaire de la Cervesa Artesana,41.3847,2.16943,bar,"el Raval
","41.3847,2.16943"
2860,33,9706,El Drapaire de la Cervesa Artesana,41.3847,2.16943,bar,"el Raval
","41.3847,2.16943"
5037,490,17229,Skybar,41.3849,2.17765,bar,"Sant Pere, Santa Caterina i la Ribera
","41.3849,2.17765"
1668,59,5645,"Icebarcelona, Carrer de Ramon Trias Fargas, Barcelona, Spain",41.3853,2.19703,bar,la Barceloneta,"41.3853,2.19703"
1543,54,5269,"Pl. de Catalunya, 21, 08002 Barcelona, Spain",41.3859,2.17076,bar,"el Barri Gòtic
","41.3859,2.17076"
1544,54,5269,"Pl. de Catalunya, 21, 08002 Barcelona, Spain",41.3859,2.17076,bar,"el Barri Gòtic
","41.3859,2.17076"
7512,312,25197,Sagardi,41.3872,2.15885,bar,"l'Antiga Esquerra de l'Eixample
","41.3872,2.15885"
6782,279,23174,Antic Teatre,41.3872,2.17596,bar,"Sant Pere, Santa Caterina i la Ribera
","41.3872,2.17596"
1542,54,5258,"Rambla de Catalunya, 18, 08007 Barcelona, Spain",41.3888,2.16683,bar,"la Dreta de l'Eixample
","41.3888,2.16683"
