destination_citivatis_id,civitatis_name,final_name,english_name,city_id
245,Puerto Varas,Puerto Varas,Puerto Varas,1200360
246,Hamburg,Hamburg,Hamburg,100098
247,Liverpool,Liverpool,Liverpool,100024
248,Geneva,Geneva,Geneva,100036
249,Punta Arenas,Punta Arenas,Punta Arenas,688
250,Puerto Natales,Puerto Natales,Puerto Natales,1200487
253,San Vicente de la Barquera,San Vicente de la Barquera,San Vicente de la Barquera,300057
256,Easter Island,Easter Island,Easter Island,670
258,Cologne,Köln,Köln,1076
259,Bordeaux,Bordeaux,Bordeaux,100096
262,Siena,Siena,Siena,100048
263,Palermo,Palermo,Palermo,1200522
264,Catania,Catania,Catania,1200055
266,Bologna,Bologna,Bologna,1200731
269,Bari,Bari,Bari,1200411
271,Funchal,Funchal,Funchal,975
274,San Lorenzo de El Escorial,San Lorenzo de El Escorial,San Lorenzo de El Escorial,100043
277,Salzburg,Salzburg,Salzburg,100086
278,Calp,Calp,Calp,995
281,Bergen,Bergen,Bergen,1200357
282,Delhi,Delhi,Delhi,1200520
283,Guadalajara,Guadalajara,Guadalajara,100140
284,Mérida,Mérida,Mérida,100141
288,Bath,Bath,Bath,100018
289,Cardiff,Cardiff,Cardiff,100013
290,Bristol,Bristol,Bristol,968
292,Jaén,Jaén,Jaén,511
293,Gothenburg,Gothenburg,Gothenburg,1200189
294,Agra,Agra,Agra,1198
295,Kathmandu,Kathmandu,Kathmandu,1200114
296,Haarlem,Haarlem,Haarlem,1200156
297,Vancouver,Vancouver,Vancouver,300070
303,Trujillo,Trujillo,Trujillo,300077
304,San José,San José,San José,300030
305,Oaxaca,Oaxaca,Oaxaca,100142
306,El Hierro,Valverde,Valverde,1224
307,Puerto Escondido,Puerto Escondido,Puerto Escondido,879
308,Burgos,Burgos,Burgos,292
309,Vila Nova de Gaia,Vila Nova de Gaia,Vila Nova de Gaia,977
316,Glasgow,Glasgow,Glasgow,100012
317,Split,Split,Split,100006
320,New Orleans,New Orleans,New Orleans,300006
321,Marbella,Marbella,Marbella,5
323,Wroclaw,Wrocław,Wrocław,59
324,Toronto,Toronto,Toronto,300072
325,Phnom Penh,Phnom Penh,Phnom Penh,567
327,Sochi,Sochi,Sochi,100087
328,Sao Paulo,São Paulo,São Paulo,100114
329,Victoria,Victoria,Victoria,1200038
330,Zadar,Zadar,Zadar,100009
334,Sintra,Sintra,Sintra,100076
339,Lleida,Lleida,Lleida,27
340,Sofia,Sofia,Sofia,1200311
341,Verona,Verona,Verona,902
342,Osaka,Osaka,Osaka,600001
343,Luxembourg,Luxembourg,Luxembourg,1200131
344,Montreal,Montréal,Montréal,300071
345,The Hague,The Hague,The Hague,100030
348,Iquitos,Iquitos,Iquitos,820
349,Flores,Flores,Flores,345
350,Rotterdam,Rotterdam,Rotterdam,100027
351,Guatemala City,Guatemala City,Guatemala City,282
352,Corfu,Corfu,Corfu,773
353,Seattle,Seattle,Seattle,300008
354,Cape Town,Cape Town,Cape Town,900000
355,Antigua Guatemala,Antigua Guatemala,Antigua Guatemala,334
356,Melbourne,Melbourne,Melbourne,1200001
357,Salvador,Salvador,Salvador,100117
358,Chichen Itza,Chichén Itzá,Chichén Itzá,834
359,Stavanger,Stavanger,Stavanger,1200204
361,Tbilisi,Tbilisi,Tbilisi,1278
362,Foz de Iguacu,Foz do Iguaçu,Foz do Iguaçu,1200581
364,Vladivostok,Vladivostok,Vladivostok,100090
366,Córdoba,Córdoba,Córdoba,1060
367,Manaus,Manaus,Manaus,1117
370,Agadir,Agadir,Agadir,1200427
377,Moshi,Moshi,Moshi,1376
385,Lhasa,Lhasa,Lhasa,60151
386,Manizales,Manizales,Manizales,1145
387,La Paz,La Paz,La Paz,1200079
389,Hiroshima,Hiroshima,Hiroshima,600003
390,Arusha,Arusha,Arusha,473
392,Peniscola,Peñíscola,Peñíscola,550
399,Murcia,Murcia,Murcia,30
402,San Cristóbal de las Casas,San Cristóbal de las Casas,San Cristóbal de las Casas,1200035
403,Palenque,Palenque,Palenque,1200033
405,Tuxtla Gutiérrez,Tuxtla Gutiérrez,Tuxtla Gutiérrez,1200046
406,Lyon,Lyon,Lyon,223
407,Zagreb,Zagreb,Zagreb,100004
408,Stratford-upon-Avon,Stratford-upon-Avon,Stratford-upon-Avon,100022
428,Cangas de Onís,Cangas de Onís,Cangas de Onís,514
431,Ixtapa Zihuatanejo,Ixtapa Zihuatanejo,Ixtapa Zihuatanejo,100137
437,Ljubljana,Ljubljana,Ljubljana,1200609
440,Palencia,Palencia,Palencia,576
441,Avilés,Avilés,Avilés,1265
442,Tarifa,Tarifa,Tarifa,19
443,Cascais,Cascais,Cascais,100077
446,Tossa de Mar,Tossa de Mar,Tossa de Mar,328
447,Lloret de Mar,Lloret de Mar,Lloret de Mar,1200244
448,Blanes,Blanes,Blanes,300084
460,Chiang Rai,Mueang Chiang Rai,Mueang Chiang Rai,1200610
469,Thessaloniki,Thessaloniki,Thessaloniki,100066
481,Utrecht,Utrecht,Utrecht,1099
499,Porto,Porto,Porto,100073
505,Montpellier,Montpellier,Montpellier,1200466
508,Asunción,Asunción,Asunción,1200578
526,Manila,Manila,Manila,600013
538,Cork,Cork,Cork,1317
547,Windsor,Windsor,Windsor,965
550,Salisbury,Salisbury,Salisbury,332
556,Murmansk,Murmansk,Murmansk,100088
559,Johannesburg,Johannesburg,Johannesburg,900002
562,Positano,Positano,Positano,300047
583,Galway,Galway,Galway,1139
586,Salou,Salou,Salou,539
589,Cambrils,Cambrils,Cambrils,1200278
601,Zhangjiajie,Zhangjiajie,Zhangjiajie,1049
619,Puerto Princesa,Puerto Princesa,Puerto Princesa,360
622,El Nido,El Nido,El Nido,367
628,Mumbai,Mumbai,Mumbai,600022
634,Jaipur,Jaipur,Jaipur,795
640,Seoul,Seoul,Seoul,600033
