,destinationId,civitatis_name,final_name,english_name,city_id
360,370,Agadir,Agadir,Agadir,1200427.0
367,377,Moshi,Moshi,Moshi,1376.0
374,385,Lhasa,Lhasa,Lhasa,60151.0
375,386,Manizales,Manizales,Manizales,1145.0
376,387,La Paz,La Paz,La Paz,1200079.0
378,389,Hiroshima,Hiroshima,Hiroshima,600003.0
379,390,Arusha,Arusha,Arusha,473.0
381,392,Peniscola,Peñíscola,Peñíscola,550.0
386,399,Murcia,Murcia,Murcia,30.0
388,402,San Cristóbal de las Casas,San Cristóbal de las Casas,San Cristóbal de las Casas,1200035.0
389,403,Palenque,Palenque,Palenque,1200033.0
391,405,Tuxtla Gutiérrez,Tuxtla Gutiérrez,Tuxtla Gutiérrez,1200046.0
392,406,Lyon,Lyon,Lyon,223.0
393,407,Zagreb,Zagreb,Zagreb,100004.0
394,408,Stratford-upon-Avon,Stratford-upon-Avon,Stratford-upon-Avon,100022.0
403,428,Cangas de Onís,Cangas de Onís,Cangas de Onís,514.0
404,431,Ixtapa Zihuatanejo,Ixtapa Zihuatanejo,Ixtapa Zihuatanejo,100137.0
405,437,Ljubljana,Ljubljana,Ljubljana,1200609.0
406,440,Palencia,Palencia,Palencia,576.0
407,441,Avilés,Avilés,Avilés,1265.0
408,442,Tarifa,Tarifa,Tarifa,19.0
409,443,Cascais,Cascais,Cascais,100077.0
411,446,Tossa de Mar,Tossa de Mar,Tossa de Mar,328.0
412,447,Lloret de Mar,Lloret de Mar,Lloret de Mar,1200244.0
413,448,Blanes,Blanes,Blanes,300084.0
417,460,Chiang Rai,Mueang Chiang Rai,Mueang Chiang Rai,1200610.0
420,469,Thessaloniki,Thessaloniki,Thessaloniki,100066.0
424,481,Utrecht,Utrecht,Utrecht,1099.0
430,499,Porto,Porto,Porto,100073.0
432,505,Montpellier,Montpellier,Montpellier,1200466.0
433,508,Asunción,Asunción,Asunción,1200578.0
438,526,Manila,Manila,Manila,600013.0
442,538,Cork,Cork,Cork,1317.0
445,547,Windsor,Windsor,Windsor,965.0
446,550,Salisbury,Salisbury,Salisbury,332.0
448,556,Murmansk,Murmansk,Murmansk,100088.0
449,559,Johannesburg,Johannesburg,Johannesburg,900002.0
450,562,Positano,Positano,Positano,300047.0
457,583,Galway,Galway,Galway,1139.0
458,586,Salou,Salou,Salou,539.0
459,589,Cambrils,Cambrils,Cambrils,1200278.0
463,601,Zhangjiajie,Zhangjiajie,Zhangjiajie,1049.0
468,619,Puerto Princesa,Puerto Princesa,Puerto Princesa,360.0
469,622,El Nido,El Nido,El Nido,367.0
471,628,Mumbai,Mumbai,Mumbai,600022.0
473,634,Jaipur,Jaipur,Jaipur,795.0
475,640,Seoul,Seoul,Seoul,600033.0
478,649,San Miguel de Allende,San Miguel de Allende,San Miguel de Allende,1200087.0
480,655,Cebu,Cebu,Cebu,364.0
481,658,Isla Cristina,Isla Cristina,Isla Cristina,1365.0
486,673,Viñales,Viñales,Viñales,300056.0
487,676,Puebla,Puebla,Puebla,100144.0
488,679,Santiago de Cuba,Santiago de Cuba,Santiago de Cuba,1126.0
489,682,Gdansk,Gdańsk,Gdańsk,58.0
490,685,Potsdam,Potsdam,Potsdam,229.0
492,691,Kiel,Kiel,Kiel,1200589.0
495,700,Delft,Delft,Delft,100034.0
498,711,Guanajuato,Guanajuato,Guanajuato,100136.0
499,714,Brasilia,Brasília,Brasília,100112.0
504,730,Moguer,Moguer,Moguer,1329.0
507,739,Sharjah,Sharjah,Sharjah,1196.0
508,742,Trier,Trier,Trier,225.0
509,745,Panajachel,Panajachel,Panajachel,1200154.0
511,751,Aarhus,Aarhus,Aarhus,100101.0
514,760,Koh Tao,Ko Tao,Ko Tao,300052.0
516,766,Busan,Busan,Busan,600034.0
518,772,Hue,Hue,Hue,648.0
519,775,Belgrade,Belgrade,Belgrade,1374.0
520,778,Teruel,Teruel,Teruel,9.0
529,805,Bacalar,Bacalar,Bacalar,865.0
530,808,Islantilla,Islantilla,Islantilla,1366.0
534,820,Jodhpur,Jodhpur,Jodhpur,1344.0
537,829,Jaisalmer,Jaisalmer,Jaisalmer,1201.0
539,835,Amritsar,Amritsar,Amritsar,1199.0
544,850,Amposta,Amposta,Amposta,518.0
545,853,Udaipur,Udaipur,Udaipur,1357.0
550,868,Braga,Braga,Braga,100071.0
555,883,Palma de Mallorca,Palma,Palma,300083.0
556,886,Roses,Roses,Roses,1200732.0
558,892,São Miguel,Ponta Delgada,Ponta Delgada,304.0
561,901,Colmar,Colmar,Colmar,905.0
562,904,Sant Sadurní d'Anoia,Sant Sadurní d'Anoia,Sant Sadurní d'Anoia,1375.0
566,916,Santo Domingo,Santo Domingo,Santo Domingo,300015.0
573,937,Innsbruck,Innsbruck,Innsbruck,100084.0
579,958,San Javier,San Javier,San Javier,1002.0
585,976,La Ametlla de Mar,L'Ametlla de Mar,L'Ametlla de Mar,1417.0
588,985,Búzios,Armação dos Búzios,Armação dos Búzios,1200746.0
593,1000,Queenstown,Queenstown,Queenstown,691.0
594,1000,Queenstown,Queenstown,Queenstown,1287.0
595,1003,Husavik,Húsavík,Húsavík,1200559.0
597,1009,Paraty,Paraty,Paraty,1200403.0
604,1030,Arriondas,Arriondas,Arriondas,994.0
609,1045,Portimão,Portimão,Portimão,1200724.0
611,1051,Aveiro,Aveiro,Aveiro,1200697.0
615,1063,Leticia,Leticia,Leticia,100126.0
617,1069,Santiago de Querétaro,Santiago de Querétaro,Santiago de Querétaro,1200119.0
618,1075,Valladolid,Valladolid,Valladolid,1342.0
619,1075,Valladolid,Valladolid,Valladolid,1200307.0
620,1078,Albarracín,Albarracín,Albarracín,11.0
621,1081,Interlaken,Interlaken,Interlaken,100038.0
622,1084,Lucerne,Lucerne,Lucerne,100039.0
626,1096,Elche,Elche,Elche,578.0
630,1108,Ézaro,Ézaro,Ézaro,1368.0
637,1130,Consuegra,Consuegra,Consuegra,1200548.0
646,1151,Honolulu,Honolulu,Honolulu,350.0
649,1154,Gold Coast,Gold Coast,Gold Coast,806.0
654,1164,Dallas,Dallas,Dallas,1200282.0
655,1167,Jerte,Jerte,Jerte,587.0
658,1176,Leipzig,Leipzig,Leipzig,231.0
663,1191,Baiona,Baiona,Baiona,1200727.0
666,1200,San Felíu de Guixols,Sant Feliu de Guíxols,Sant Feliu de Guíxols,1200243.0
667,1203,Lausanne,Lausanne,Lausanne,300034.0
672,1218,Pompeii,Pompeii,Pompeii,215.0
674,1224,Zante,Zákynthos,Zákynthos,100064.0
677,1231,Jakarta,Jakarta,Jakarta,307.0
678,1234,Aqaba,Aqaba,Aqaba,300032.0
679,1237,Cartagena,Cartagena,Cartagena,100157.0
680,1237,Cartagena,Cartagena,Cartagena,1200169.0
681,1240,Brno,Brno,Brno,100058.0
685,1252,Islamabad,Islamabad,Islamabad,646.0
689,1264,Lecce,Lecce,Lecce,216.0
690,1267,San Martín de los Andes,San Martín de los Andes,San Martín de los Andes,883.0
691,1270,Niagara Falls,Niagara Falls,Niagara Falls,1183.0
692,1273,Niagara Falls,Niagara Falls,Niagara Falls,1183.0
696,1285,Toro,Toro,Toro,1200689.0
697,1288,San Gimignano,San Gimignano,San Gimignano,1200486.0
699,1294,Viña del Mar,Viña del Mar,Viña del Mar,1200164.0
701,1300,Beirut,Beirut,Beirut,650.0
704,1313,Aguas Calientes,Aguas Calientes,Aguas Calientes,816.0
705,1316,Nuremberg,Nuremberg,Nuremberg,234.0
709,1328,Heidelberg,Heidelberg,Heidelberg,235.0
710,1331,Nairobi,Nairobi,Nairobi,297.0
718,1358,Banaue,Banaue,Banaue,375.0
724,1376,Nafplio,Nafplio,Nafplio,100065.0
725,1379,Hvar,Hvar,Hvar,1082.0
730,1396,Cagliari,Cagliari,Cagliari,100044.0
732,1402,San José,San José,San José,1261.0
733,1402,San José,San José,San José,1271.0
734,1402,San José,San José,San José,300030.0
735,1405,Disneyland Paris,Chessy,Chessy,1200130.0
737,1411,Melilla,Melilla,Melilla,296.0
738,1417,Kaatsheuvel,Kaatsheuvel,Kaatsheuvel,1098.0
741,1426,Coron,Coron,Coron,361.0
743,1432,Jávea,Xàbia,Xàbia,571.0
745,1438,Jeju,Jeju City,Jeju City,600039.0
752,1459,Providencia,Providencia,Providencia,1200369.0
754,1465,Laredo,Laredo,Laredo,1143.0
759,1480,Dakar,Dakar,Dakar,1337.0
765,1501,Pereira,Pereira,Pereira,1200027.0
773,1525,Puerto Plata,Puerto Plata,Puerto Plata,300017.0
774,1528,Chennai,Chennai,Chennai,1200735.0
783,1555,Alcalá la Real,Alcalá,Alcalá,1200288.0
794,1588,La Fortuna,La Fortuna,La Fortuna,955.0
801,1609,Puerto Montt,Puerto Montt,Puerto Montt,1200297.0
814,1651,O Grove,O Grove,O Grove,1200728.0
815,1654,Maputo,Maputo,Maputo,1200159.0
821,1672,Trinidad,Trinidad,Trinidad,300024.0
822,1675,Zumaia,Zumaia,Zumaia,1200377.0
831,1702,Nara,Nara,Nara,1044.0
835,1714,Tigre,Tigre,Tigre,1200354.0
838,1726,Carcassonne,Carcassonne,Carcassonne,221.0
846,1750,Mandalay,Mandalay,Mandalay,300055.0
847,1753,Mazagón,Mazagón,Mazagón,1330.0
848,1756,Mont Saint Michel,Mont Saint-Michel,Mont Saint-Michel,217.0
850,1762,Dar es Salaam,Dar es Salaam,Dar es Salaam,1200194.0
853,1771,El Chaltén,El Chaltén,El Chaltén,886.0
854,1774,Cozumel,Cozumel,Cozumel,100139.0
