,city_id,country_id,region_id,province_id,sub_province_id,google_api_level_x,google_id,city_english_name,city_spanish_name,country_english_name,country_spanish_name,lat,lng,geometry,province_id_x
792,100138,56,533.0,888.0,,locality,ChIJSyrkEAPUT48Rt5r_k9vA7Q4,Tulum,Tulum,Mexico,México,20.2114185,-87.46535019999999,POINT (-87.46535019999999 20.2114185),
793,100139,56,533.0,888.0,,locality,ChIJWTZnCjNYTo8Rmm7Yxxb17Zw,Cozumel,Cozumel,Mexico,México,20.5071703,-86.9446237,POINT (-86.9446237 20.5071703),
794,100140,56,531.0,872.0,,locality,ChIJm9MvtYyxKIQRUFeGvwKTPdY,Guadalajara,Guadalajara,Mexico,México,20.6596988,-103.3496092,POINT (-103.3496092 20.6596988),
795,100141,56,533.0,890.0,,locality,ChIJFw1Fq1xxVo8RCeurFVcV_F0,Mérida,Mérida,Mexico,México,20.9673702,-89.5925857,POINT (-89.5925857 20.9673702),
796,100142,56,532.0,886.0,,locality,ChIJsdkm30kix4URO_zfV3aniKw,Oaxaca,Oaxaca,Mexico,México,17.0731842,-96.7265889,POINT (-96.7265889 17.0731842),
797,100143,56,531.0,873.0,,locality,ChIJ46edsqILLYQRIIacZ3hpAQQ,Morelia,Morelia,Mexico,México,19.7059504,-101.1949825,POINT (-101.1949825 19.7059504),
798,100144,56,527.0,876.0,,locality,ChIJO3q8Xr3Az4URla2U5B1Gpkg,Puebla,Puebla,Mexico,México,19.0414398,-98.2062727,POINT (-98.2062727 19.0414398),
799,100145,56,532.0,884.0,,locality,ChIJjatjkszZjIUR_KgKeasZPEg,Chiapas,Chiapas,Mexico,México,16.3224417,-91.7910619,POINT (-91.7910619 16.3224417),
800,100146,54,493.0,300000.0,,locality,ChIJOwg_06VPwokRYv534QaPC8g,New York City,Nueva York,United States,Estados Unidos,40.7127753,-74.0059728,POINT (-74.0059728 40.7127753),
801,100147,54,512.0,,,locality,ChIJW-T2Wt7Gt4kRKl2I1CJFUsI,Washington D.C.,Washington D.C.,United States,Estados Unidos,38.9071923,-77.0368707,POINT (-77.0368707 38.9071923),
802,100148,54,,,,locality,ChIJ4_mrHgXMSYYRHHB3cX1cKD4,Tyler,Tyler,United States,Estados Unidos,32.3512601,-95.30106239999999,POINT (-95.30106239999999 32.3512601),
803,100149,47,423.0,803.0,,locality,ChIJzVC2zSCbjkcRRxhtxH96wMw,Montreux,Montreux,Switzerland,Suiza,46.4312213,6.9106799,POINT (6.9106799 46.4312213),
804,100151,1,14.0,300050.0,,locality,ChIJ4bV8LTjmZA0RasoEm3J-hsg,Lorca,Lorca,Spain,España,37.6735925,-1.6968357,POINT (-1.6968357 37.6735925),
805,100152,1,1.0,12.0,,locality,ChIJVXNflFxwEg0RWXx1BsM1Zx8,Dos Hermanas,Dos Hermanas,Spain,España,37.2865803,-5.924239099999999,POINT (-5.924239099999999 37.2865803),
806,100155,1,14.0,300050.0,,locality,ChIJKWOSvfOOZA0R6AtPMx2s9Uc,Alhama de Murcia,Alhama de Murcia,Spain,España,37.8493011,-1.422935,POINT (-1.422935 37.8493011),
807,100156,1,1.0,12.0,,locality,ChIJqXh26JITEg0R2Y9GqDpCz_Q,Espartinas,Espartinas,Spain,España,37.3800349,-6.1328179,POINT (-6.1328179 37.3800349),
808,100157,1,14.0,300050.0,,locality,ChIJbbU6pCJCYw0R__n2_s6Q10c,Cartagena,Cartagena,Spain,España,37.6156944,-0.9892242,POINT (-0.9892242 37.6156944),
809,100158,1,1.0,12.0,,locality,ChIJUWdrzmYREg0Ruf8wows6bXI,Umbrete,Umbrete,Spain,España,37.3681512,-6.1566754,POINT (-6.1566754 37.3681512),
810,100160,1,2.0,10180.0,,locality,ChIJC9ROitjkXQ0R8dtNHiFKIg8,El Cuervo,El Cuervo,Spain,España,40.1511485,-1.3258349,POINT (-1.3258349 40.1511485),
811,100163,1,10.0,25.0,,locality,ChIJRdIZh-WDpBIRMHABf5Dmtx8,Begues,Begues,Spain,España,41.33097480000001,1.9226434,POINT (1.9226434 41.33097480000001),
812,100168,1,8.0,300004.0,,locality,ChIJ81unZzdFZg0RXG9R9HIWpLc,La Gineta,La Gineta,Spain,España,39.1132781,-1.9961056,POINT (-1.9961056 39.1132781),
813,300001,56,533.0,890.0,,locality,ChIJxQWNwwpFUo8RFccJDy_Ipu8,The Coloradas,Las Coloradas,Mexico,México,21.6082868,-87.9913196,POINT (-87.9913196 21.6082868),
814,300002,54,466.0,30001.0,,locality,ChIJE9on3F3HwoAR9AhGJW_fL-I,Los Angeles,Los Ángeles,United States,Estados Unidos,34.0522342,-118.2436849,POINT (-118.2436849 34.0522342),
815,300003,54,474.0,30002.0,,locality,ChIJ7cv00DwsDogRAMDACa2m4K8,Chicago,Chicago,United States,Estados Unidos,41.8781136,-87.6297982,POINT (-87.6297982 41.8781136),
816,300005,54,482.0,30004.0,,locality,ChIJGzE9DS1l44kRoOhiASS_fHg,Boston,Boston,United States,Estados Unidos,42.3600825,-71.0588801,POINT (-71.0588801 42.3600825),
817,300006,54,479.0,30007.0,,locality,ChIJZYIRslSkIIYRtNMiXuhbBts,New Orleans,Nueva Orleans,United States,Estados Unidos,29.95106579999999,-90.0715323,POINT (-90.0715323 29.95106579999999),
818,300007,54,466.0,30008.0,,locality,ChIJIQBpAG2ahYAR_6128GcTUEo,San Francisco,San Francisco,United States,Estados Unidos,37.7749295,-122.4194155,POINT (-122.4194155 37.7749295),
819,300008,54,508.0,30010.0,,locality,ChIJVTPokywQkFQRmtVEaUZlJRA,Seattle,Seattle,United States,Estados Unidos,47.6062095,-122.3320708,POINT (-122.3320708 47.6062095),
820,300009,56,533.0,888.0,,locality,ChIJ07LODlclTI8Re4xeoiXrcFg,Isla Mujeres,Isla Mujeres,Mexico,México,21.2366946,-86.7357679,POINT (-86.7357679 21.2366946),
821,300010,54,470.0,30003.0,,locality,ChIJEcHIDqKw2YgRZU-t3XHylv8,Miami,Miami,United States,Estados Unidos,25.7616798,-80.1917902,POINT (-80.1917902 25.7616798),
822,300011,47,424.0,797.0,,locality,ChIJx2UROwegj0cRMSyQVbstOQU,Lauterbrunnen,Lauterbrunnen,Switzerland,Suiza,46.5935058,7.9090981,POINT (7.9090981 46.5935058),
823,300012,45,419.0,,,locality,ChIJZ2jHc-2kw0cRpwJzeGY6i8E,Brussels,Bruselas,Belgium,Bélgica,50.8476424,4.3571696,POINT (4.3571696 50.8476424),
824,300013,1,10.0,26.0,,locality,ChIJV_Vcmh1xpRIRtQ2YDM1yZf0,La Molina,La Molina,Spain,España,42.337605,1.9349881,POINT (1.9349881 42.337605),
825,300014,208,1462.0,60049.0,,locality,ChIJ-VEymM-SABURVEdxIIGcPgE,Wadi Rum Village,Wadi Rum Village,Jordan,Jordania,29.5742989,35.4210371,POINT (35.4210371 29.5742989),
826,300015,68,639.0,1415.0,,locality,ChIJq6V-EPGJr44RZMEVJ7iHxdY,Santo Domingo,Santo Domingo,Dominican Republic,República Dominicana,18.4860575,-69.93121169999999,POINT (-69.93121169999999 18.4860575),
827,300016,68,638.0,1395.0,,locality,ChIJd_7LXWSRqI4R8_YS7fociGE,Punta Cana,Punta Cana,Dominican Republic,República Dominicana,18.5600761,-68.372535,POINT (-68.372535 18.5600761),
828,300017,68,635.0,1404.0,,locality,ChIJdfpGAD_usY4RZ3TZhgIwwRA,Puerto Plata,Puerto Plata,Dominican Republic,República Dominicana,19.7807686,-70.6871091,POINT (-70.6871091 19.7807686),
829,300018,68,635.0,1404.0,,locality,ChIJC7Iv1m8dro4RJJ3CW54gADQ,Cabarete,Cabarete,Dominican Republic,República Dominicana,19.7509228,-70.4144209,POINT (-70.4144209 19.7509228),
830,300019,68,637.0,1405.0,,locality,ChIJBXbWT1PDro4R8Hw1fOkHsqc,Las Galeras,Las Galeras,Dominican Republic,República Dominicana,19.2819375,-69.20282209999999,POINT (-69.20282209999999 19.2819375),
